"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","plant_organ2","abund_value","abund_unit","lng","lat","occurrence_comments","collection_name","collection_subset","collection_aka","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","geoplate","paleoage","paleolng","paleolat","paleomodel2","geoplate2","paleoage2","paleolng2","paleolat2","paleomodel3","geoplate3","paleoage3","paleolng3","paleolat3","cc","protected","formation","stratgroup","member","stratscale","zone","localsection","localbed","localbedunit","localorder","regionalsection","regionalbed","regionalbedunit","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","assembl_comps","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","ecospace_comments","composition","architecture","thickness","reinforcement"
"41524","occ","","","3257","Aves indet.","class","36616","","Aves","","class","36616","Early Eocene","Middle Eocene","55.8","37.2","Bone et al.","1991","149","Chordata","Aves","","","","","","","","-1.166667","51.083332","limb bone","M27 Motorway","","","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse between Allington Lane and Quob Lane","gplates","315","mid","5.97","43.28","scotese","315","mid","-3.87","47.48","seton","331","mid","-6.77","47.24","UK","","","Bracklesham","","group of beds","","M27 Motorway","DC6ii  7","","","","","","","","","sandstone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","biostratigraphic","","","","","","","","","","terrestrial","","actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"41580","occ","","","3256","Aves indet.","class","36616","","Aves","","class","36616","Early Eocene","Middle Eocene","55.8","37.2","Bone et al.","1991","149","Chordata","Aves","","","","","","","","-1.166667","51.083332","limb bone","M27 Motorway","","","UK","England","Hampshire","based on political unit","minutes","small collection","at Dummer's Copse, between Allington Lane and Quob Lane","gplates","315","mid","5.97","43.28","scotese","315","mid","-3.87","47.48","seton","331","mid","-6.77","47.24","UK","","","Bracklesham","","bed","","M27 Motorway","DC5iii","","","","","","","","","sandstone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","biostratigraphic","","","","","","","","","","terrestrial","","actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"130209","occ","","","10755","n. gen. Chaoyangosaurus n. sp. liaosiensis","species","65704","replaced by","Chaoyangsaurus youngi","","species","55580","Late Kimmeridgian","Valanginian","155.7","132.9","Dong","1992","13360","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Chaoyangsauridae","Chaoyangsaurus","","","1","specimens","123.966698","42.933300","","Ershijiazi, Chaoyang","","Chaoyangsaurus type","CN","Liaoning","Chaoyang","stated in text","4","small collection","Chaoyang area of Liaoning Province, NE China","gplates","604","mid","127.48","50.66","scotese","604","mid","125.85","43.99","seton","601","mid","129.76","60.66","CN","","Tuchengzi","","","group of beds","","","","","","","","","","possibly late Middle Jurassic based on conchostracans correlated with Bathonian non-marine conchostracans from northwest Scotland\r\nformation ""attains a thickness of approximately 876-2,908 m.""","purple-grey sediments representing a river-facies","mudstone","gray,blue","","","Y","","","","","","fluvial indet.","","","macrofossils,mesofossils","","","","","","","","body","good","","","","","","","","","","","dinosaur elements thought to represent a single individual","taxonomic","selective quarrying,mechanical,field collection","","some macrofossils","","","","","","conchostracan genera listed without species","terrestrial","","actively mobile","ground dwelling","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"130294","occ","","","10764","n. gen. Protarchaeopteryx n. sp. robusta","species","66068","","Protarchaeopteryx robusta","","species","66068","Late Barremian","Early Aptian","130","122.46","Ji et al.","1998","4006","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Protarchaeopteryx","","","1","specimens","120.733330","41.799999","GMV/NGMC 2125","Sihetun, Yixian Member 3 (general)","","","CN","Liaoning","","based on political unit","seconds","local area","Sihetun area near Beipiao city","gplates","604","mid","129.23","41.69","scotese","604","mid","122.10","43.35","seton","601","mid","132.35","56.82","CN","","Yixian","Jehol","Jianshangou","bed","","","","","","","","","","authors use ""Jiulongsong Member"" of ""Chaomidianzi Formation"", but this is lower part of Yixian","","siltstone","","","","Y","","","","","","lacustrine indet.","","","macrofossils","","","","","","","","body,adpression,soft parts","excellent","","","conservation","","","","","","","","","biostratigraphic","field collection","","","3 individuals","","","","","","terrestrial","","actively mobile","ground dwelling, depth=surface","","omnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","intermediate",""
"130295","occ","","","10764","n. gen. Caudipteryx n. sp. zoui","species","66066","","Caudipteryx zoui","","species","66066","Late Barremian","Early Aptian","130","122.46","Ji and Ji","1997","19421","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Caudipteryx","","","2","specimens","120.733330","41.799999","NGMC 97-4-A","Sihetun, Yixian Member 3 (general)","","","CN","Liaoning","","based on political unit","seconds","local area","Sihetun area near Beipiao city","gplates","604","mid","129.23","41.69","scotese","604","mid","122.10","43.35","seton","601","mid","132.35","56.82","CN","","Yixian","Jehol","Jianshangou","bed","","","","","","","","","","authors use ""Jiulongsong Member"" of ""Chaomidianzi Formation"", but this is lower part of Yixian","","siltstone","","","","Y","","","","","","lacustrine indet.","","","macrofossils","","","","","","","","body,adpression,soft parts","excellent","","","conservation","","","","","","","","","biostratigraphic","field collection","","","3 individuals","","","","","","terrestrial","","actively mobile","ground dwelling, depth=surface","","omnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","intermediate",""
"137486","occ","","","11582","Theropoda indet.","unranked clade","94209","","Theropoda","","unranked clade","38513","Middle Campanian","Late Campanian","83.5","70.6","Gradzinski et al.","1977","59136","Chordata","Saurischia","","","","","","","","99.599998","43.299999","'dinosaurs'","Khermeen Tsav, Red Beds (PIN coll. 3142) [SMPE]","","Khermin Tsav; Khermin-Tsab; Hermiin Tsav, Soviet-Mongolian Paleontological Expedition","MN","Omnogov","","estimated from map","1","outcrop","An apparently vague locality definition, that might also include the site referred to as 'Khermeen-Tsav 2' and the surrounding area.","gplates","628","mid","95.39","37.54","scotese","628","mid","90.01","39.30","seton","417","mid","99.43","46.56","MN","","Baruungoyot","","","group of beds","","","","","","","","","","Red Beds of Khermin Tsav","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","excellent","","","","","","","","","","","","taxonomic","surface (in situ),field collection","","some macrofossils","","","V. Reshetov, R. Barsbold","1972, 2008","A broad collection that might include the collection #1157, but necessary because of nomenclatural variation from authors to authors, and also because the stratigraphic position of Gobiates khermeentsavi in the locality section is unknown. Distinct from PMPE and other collections from the same general site. Collected via Joint Soviet-Mongolian Paleontological Expedition","","terrestrial","","actively mobile","ground dwelling, solitary","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"138867","occ","","","22634","Dinosauria indet.","unranked clade","52775","","Dinosauria","","unranked clade","52775","Berriasian","Aptian","145","113","Polcyn et al.","1999","4203","Chordata","Reptilia","","","","","","","","34.726665","30.538889","","Amphibian Hill","","ETE Locality 1508; Makhtesh Ramon","IL","Negev","","stated in text","seconds","small collection","southern Negev Desert, Ramon erosion cirque, about 80 km south of Beer-Sheba\r\ncoordinate stated by Nevo and Estes 1969, who say ""the main [outcrop, Amphibian Hill is] 2.5 m thick and 2.0 m long""","gplates","508","mid","40.40","0.64","scotese","508","mid","30.06","6.47","seton","508","mid","35.65","1.19","IL","","Hatira","","","group of beds","","","","","","","","","","ETE dating method: time_unit, ETE age comment: . radiometric intage_max, radiometric intage_min\r\n""pre-Albian, probably Neocomian"" (Nevo and Estes 1969)\r\nalso said to be from the Nubian Formation","ETE rock type adj: 0, ETE lithology comments: .\r\nfine-grained, laminated, lacustrine deposit associated with the Ramon basalt\r\nfossiliferous rock at main outcrop ""consists of several thousand fine, varve-like alternating dark limonitic and light silty laminations""\r\n","siltstone","planar lamination","","","","","","","","","lacustrine - small","","ETE sed env 1: lacustrine_sm, ETE sed env 2: . ETE event: airfall, ETE env comment: .\r\n""a small, shallow freshwater lake having an outlet"" (Nevo and Estes 1969)\r\n","macrofossils","","","","","","","","body,mold/impression,adpression","excellent","autochthonous","snapshot","concentrate","concentrated","","","","","","","ETE Abrasion: ., ETE Assemblage formation: mass_death, ETE transport: ., ETE weathering/trampling: ., ETE part concentration: ., ETE time represented: . ,ETE vert pres: ., ETE invert pres: ., ETE plant pres: .\r\n""specimens are preserved wholly or in part, either as limonitic petrified skeletons or as imprints in soft silty rock""\r\n","taxonomic","field collection","","","890 specimens","","","","ETE Size: .; ETE reference list: 478, ; ETE museum list: \r\n""some 900 adult frogs and 16 salamanders have been collected as well as two dinosaurian teeth and plant remains"" (Nevo and Estes 1969)\r\n","","terrestrial","","actively mobile","","","","","","","phosphatic","","",""
"139242","occ","24752","","11890","Gorgosaurus n. sp. sternbergi","species","63900","subjective synonym of","Gorgosaurus libratus","","species","53194","Late Campanian","","83.5","70.6","Matthew and Brown","1922","13165","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Gorgosaurus","","","1","specimens","-111.528732","50.740726","","RTMP Quarry 6, Sand Creek [AMNH]","","Sternberg Quarry 54","CA","Alberta","","estimated from map","6","local area","near Steveville, Alberta (now Dinosaur Provincial Park); Sand Creek; NW 1/4, sec 31, T20, R11, LSD 4.  Coordinates estimated from map in Sternberg 1950.","gplates","101","mid","-65.72","60.93","scotese","101","mid","-75.82","59.05","seton","101","mid","-79.36","55.78","CA","","Dinosaur Park","Belly River","","bed","","","","","","Dinosaur Park","4.135","m","bottom to top","originally assigned to the Oldman Fm.","","sandstone","","","","Y","","","","","","""channel""","","","macrofossils","many","","","","","","","body","good","","snapshot","","dispersed","","","","","","","","taxonomic","selective quarrying,mechanical,field collection","AMNH","","","","C. H. Sternberg","1917","","","terrestrial","","actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"139249","occ","","","11892","Hadrosauridae indet.","family","38755","","Hadrosauridae","","family","38755","Late Campanian","","83.5","70.6","Currie","2005","16964","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","","","","1","specimens","-111.461914","50.753296","FMNH PR 1811","RTMP Quarry 95, Steveville (ROM)","","Sternberg Quarry 78","CA","Alberta","","estimated from map","6","small collection","SW 1/4, sec. 4, T20, R 11, W 4th meridian.  Coordinates estimated from map in Sternberg 1950.","gplates","101","mid","-65.63","60.92","scotese","101","mid","-75.73","59.04","seton","101","mid","-79.28","55.78","CA","","Dinosaur Park","Belly River","","bed","","","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","","","snapshot","","dispersed","","","","","","","","general faunal/floral","selective quarrying,mechanical,field collection","FMNH","","","","B. Brown?","","","","terrestrial","","actively mobile","","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"139250","occ","23301","","11893","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","","species","53194","Late Campanian","","83.5","70.6","Russell","1970","4205","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Gorgosaurus","","","1","specimens","-111.549347","50.737015","","RTMP Quarry 48, Steveville (UA)","","Sternberg Quarry 48, U.A.1","CA","Alberta","","stated in text","6","small collection","near Steveville, Alberta (now Dinosaur Provincial Park); NW 1/4, sec 36, T20, R12, W 4th meridian.","gplates","101","mid","-65.75","60.93","scotese","101","mid","-75.85","59.05","seton","101","mid","-79.38","55.77","CA","","Dinosaur Park","Belly River","","bed","","","","","","","","","","originally assigned to the Oldman Fm.","","sandstone","","","","Y","","","","","","""channel""","","","macrofossils","","","","","","","","body","","parautochthonous","snapshot","","dispersed","","","","","","","","paleoecologic","selective quarrying,mechanical,field collection","","","","","G. F. Sternberg","1921","","","terrestrial","","actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
